,Release,Currency,Symbol,Programming language of implementation,Notes,Date,Close,Market Cap
91,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-04,10594.49,189810010608.0
92,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-03,10623.54,190312487956.0
93,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-02,10346.76,185333114163.0
94,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-01,9757.97,174768292883.0
95,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-31,9630.66,172470743516.0
96,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-30,9598.17,171869216524.0
97,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-29,9510.2,170274910132.0
98,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-28,9754.42,174627460400.0
99,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-27,10185.5,182325540955.0
100,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-26,10370.82,185625235889.0
101,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-25,10138.52,181450186164.0
102,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-24,10159.96,181813631752.0
103,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-23,10407.97,186231409722.0
104,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-22,10131.06,181257125783.0
105,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-21,10138.05,181364502142.0
106,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-20,10763.23,192530283565.0
107,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-19,10916.05,195243306008.0
108,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-18,10345.81,185022920955.0
109,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-17,10231.74,182966857173.0
110,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-16,10374.34,185500055339.0
111,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-15,10311.55,184357666577.0
112,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-14,10051.7,179692803424.0
113,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-13,10895.83,194762696644.0
114,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-12,11382.62,203441494985.0
115,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-11,11523.58,205941632235.0
116,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-10,11354.02,202890020455.0
117,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-09,11862.94,211961319133.0
118,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-08,11966.41,213788089212.0
119,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-07,11941.97,213330426789.0
120,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-06,11478.17,205023347814.0
121,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-05,11805.65,210848822060.0
122,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-04,10970.18,195907875403.0
123,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-03,10821.73,193233960601.0
124,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-02,10518.17,187791090996.0
125,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-08-01,10399.67,185653203391.0
126,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-31,10085.63,180028959603.0
127,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-30,9607.42,171472452506.0
128,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-29,9519.15,169880343827.0
129,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-28,9552.86,170461958074.0
130,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-27,9477.68,169099540423.0
131,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-26,9870.3,176085968354.0
132,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-25,9911.84,176806451137.0
133,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-24,9811.93,175005760794.0
134,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-23,9900.77,176572890702.0
135,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-22,10343.11,184443440748.0
136,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-21,10599.11,188987475962.0
137,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-20,10767.14,191963691255.0
138,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-19,10530.73,187725578628.0
139,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-18,10666.48,190129918121.0
140,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-17,9693.8,172777250515.0
141,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-16,9477.64,168908640950.0
142,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-15,10895.09,194147627475.0
143,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-14,10256.06,182741933552.0
144,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-13,11392.38,202968191001.0
145,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-12,11815.99,210494417832.0
146,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-11,11358.66,202324174692.0
147,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-10,12156.51,216515999522.0
148,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-09,12573.81,223928128583.0
149,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-08,12285.96,218778355444.0
150,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-07,11450.85,203881891346.0
151,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-06,11208.55,199546110914.0
152,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-05,10978.46,195424678267.0
153,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-04,11215.44,199617404432.0
154,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-03,11961.27,212867079175.0
155,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-02,10801.68,192206536806.0
156,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-07-01,10583.13,188297637574.0
157,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-30,10817.16,192442065810.0
158,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-29,11959.37,212739713110.0
159,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-28,12407.33,220681459666.0
160,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-27,11182.81,198878940964.0
161,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-26,13016.23,231462117209.0
162,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-25,11790.92,209647943360.0
163,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-24,11011.1,195762668679.0
164,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-23,10855.37,192970090355.0
165,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-22,10701.69,190214124824.0
166,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-21,10144.56,180293241528.0
167,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-20,9527.16,169304784791.0
168,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-19,9273.52,164780855869.0
169,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-18,9081.76,161353637186.0
170,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-17,9320.35,165573372261.0
171,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-16,8994.49,159769423370.0
172,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-15,8838.38,156982138835.0
173,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-14,8693.83,154398880249.0
174,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-13,8230.92,146160317148.0
175,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-12,8145.86,144634684711.0
176,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-11,7927.71,140748537530.0
177,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-10,8000.33,142023351079.0
178,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-09,7688.08,136465098533.0
179,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-08,7954.13,141172841635.0
180,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-07,8043.95,142754693588.0
181,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-06,7822.02,138800725479.0
182,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-05,7824.23,138824651666.0
183,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-04,7707.77,136742790469.0
184,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-03,8208.99,145619047341.0
185,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-02,8742.96,155077231351.0
186,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-06-01,8564.02,151890214310.0
187,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-31,8574.5,152059886414.0
188,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-30,8319.47,147525141134.0
189,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-29,8659.49,153537047655.0
190,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-28,8719.96,154590202287.0
191,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-27,8805.78,156093754762.0
192,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-26,8673.22,153725486067.0
193,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-25,8052.54,142708188838.0
194,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-24,7987.37,141539115575.0
195,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-23,7881.85,139654107035.0
196,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-22,7680.07,136063898960.0
197,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-21,7963.33,141065573610.0
198,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-20,7978.31,141315695728.0
199,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-19,8197.69,145185076705.0
200,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-18,7271.21,128761727083.0
201,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-17,7343.9,130034777633.0
202,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-16,7884.91,139599559278.0
203,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-15,8205.17,145254332460.0
204,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-14,7994.42,141508656735.0
205,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-13,7814.92,138316573807.0
206,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-12,6972.37,123389710222.0
207,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-11,7204.77,127488435181.0
208,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-10,6378.85,112863284035.0
209,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-05-09,6174.53,109238600750.0
